NH4inf,FA,FNA,Day,O2,pH,HRT,Temperature,Candidatus Kuenenia,Candidatus Brocadia,AnAOB,AOB,NOB,NLR,NRR
86,0.3,1.33,258,0.49,7.1,38.4,13,0,57,57,0.17,0.15,0.05,0.02
160.58,0.91,0.56,155,1.16,7.05,4.7,20.7,0,10.59,10.59,1.31,0.06,0.82,0.68
134.13,0.67,0.59,192,1.22,7.05,3.7,19,0,14.71,14.71,1.4,0.08,0.87,0.69
129.5,0.56,0.62,224,1.22,7.05,3.7,17.1,0,12.23,12.23,0.93,0.41,0.84,0.59
132.58,0.5,0.66,247,1.5,7.05,3.7,15.2,0,16.22,16.22,1.53,0.21,0.86,0.72
112.54,0.4,0.67,297,2.18,7.05,3.7,14.4,0,20.57,20.57,2.2,0.1,0.73,0.64
141.54,0.55,0.65,332,2.37,7.05,4.3,15.6,0,15.25,15.25,2.43,0.31,0.79,0.67
152.29,0.7,0.61,375,2.39,7.05,4.3,18,0,15.99,15.99,2.61,0.06,0.85,0.73
131.25,0.7,0.58,424,2.27,7.05,3.5,19.9,0,20.18,20.18,2.18,0.29,0.9,0.78
108.75,0.58,0.58,487,2.29,7.05,2.9,20,0,24.1,24.1,2.18,0.11,0.9,0.73
120.38,0.64,0.58,537,2.08,7.05,2.7,19.8,0,20.11,20.11,2.64,0.24,1.07,0.9
111.38,0.51,0.61,589,1.74,7.05,2.7,17.9,0,16.22,16.22,1.45,0.25,0.99,0.72
119.17,0.43,0.67,616,1.74,7.05,2.6,14.7,0,20.87,20.87,2.52,0.49,1.1,1.01
92.96,0.29,0.7,639,1.53,7.05,2.3,13,0,17.78,17.78,3.07,0.71,0.97,0.87
92.96,0.29,0.7,679,1.57,7.05,2.3,13,0,20.18,20.18,1.79,0.73,0.97,0.76
112.5,0.4,0.67,723,1.53,7.05,2.7,14.4,0,20.87,20.87,1.23,0.44,1,0.79
108.33,0.43,0.64,759,1.53,7.05,2.6,16.1,0,23.05,23.05,1.41,0.83,1,0.81
53.75,0.27,0.59,828,0.99,7.05,3,19.1,0,19.83,19.83,0.92,0.11,0.43,0.31
121.83,0.66,0.57,869,0.76,7.05,6.8,20.2,0,29.72,29.72,0.55,0.04,0.43,0.35
127.08,0.54,0.62,922,0.99,7.05,6.1,17,0,19.06,19.06,0.82,0.05,0.5,0.43
127.08,0.54,0.62,983,0.99,7.05,6.1,17,0,28.14,28.14,0.72,0.44,0.5,0.47
127.08,0.54,0.62,998,0.99,7.05,6.1,17,0,31.05,31.05,0.41,0.19,0.5,0.45
517.2,19.09,0.47,64,0.25,7.5,48,33,0,1.98,26.95,6.73,0,0.26,0.22
475.07,17.53,0.3,118,0.4,7.5,24,33,0,1.08,17.97,23.3,0,0.48,0.4
503.08,18.57,0.6,168,0.4,7.5,24,33,0,3.34,14.07,20.14,0,0.5,0.43
33.4,0.14,1.5,57,0.28,6.78,4,25,3.3,6.5,9.8,5.6,0.1,0.2,0.16
