NH4+-Ninf ,NH4+-Neff,NO2--Neff,FA,FNA,O2,pH,HRT,Temperature,NLR,NRR,Candidatus Kuenenia
120.38,11.11,0.75,0.64,0.58,2.08,7.05,2.7,19.8,1.07,0.9,0
111.38,25.02,0.75,0.51,0.61,1.74,7.05,2.7,17.9,0.99,0.72,0
119.17,2.81,0.75,0.43,0.67,1.74,7.05,2.6,14.7,1.1,1.01,0
92.96,5.85,0.75,0.29,0.7,1.53,7.05,2.3,13,0.97,0.87,0
92.96,16.04,0.75,0.29,0.7,1.57,7.05,2.3,13,0.97,0.76,0
112.5,19.01,0.75,0.4,0.67,1.53,7.05,2.7,14.4,1,0.79,0
108.33,13.99,0.75,0.43,0.64,1.53,7.05,2.6,16.1,1,0.81,0
53.75,5.07,0.75,0.27,0.59,0.99,7.05,3,19.1,0.43,0.31,0
121.83,13.16,0.75,0.66,0.57,0.76,7.05,6.8,20.2,0.43,0.35,0
127.08,7.45,0.75,0.54,0.62,0.99,7.05,6.1,17,0.5,0.43,0
127.08,1.33,0.75,0.54,0.62,0.99,7.05,6.1,17,0.5,0.47,0
127.08,4.3,0.75,0.54,0.62,0.99,7.05,6.1,17,0.5,0.45,0
517.2,20.49,2.41,19.09,0.47,0.25,7.5,48,33,0.26,0.22,0
475.07,32.4,1.52,17.53,0.3,0.4,7.5,24,33,0.48,0.4,0
503.08,18.95,3.07,18.57,0.6,0.4,7.5,24,33,0.5,0.43,0
33.4,6.1,1.2,0.14,1.5,0.28,6.78,4,25,0.2,0.16,3.3
35.1,4.7,1.5,0.2,1.07,0.48,7.08,4,20,0.21,0.17,2.6
30.9,7.4,1.9,0.12,1.52,1.17,7.09,4,15,0.19,0.13,3.8
238.81,25.49,51.76,29.53,1.96,0.05,8.3,8,25,0.72,0.41,32.31
585.47,44.69,25.49,133.62,0.47,0.09,8.61,16,25,0.88,0.71,26.2
615.7,236.67,25.49,84.37,0.86,0.05,8.35,16,25,0.92,0.45,26.64
323.46,27.51,25.49,49.06,0.77,0.04,8.4,16,25,0.49,0.36,18.25
307.34,29.53,25.49,32.16,1.16,0.02,8.22,16,25,0.46,0.34,21.2
50,5.65,0.72,1.34,0.14,0.13,7.6,2,25,0.6,0.43,27.6
27.29,1.86,0.01,0.22,0,0.15,7.4,19.29,14.83,0.03,0.03,0
18.77,0.2,0.01,0.16,0,0.45,7.4,20.07,15.35,0.02,0.01,0
17.57,1.79,0.01,0.15,0,1.19,7.4,9.4,15.88,0.04,0.02,0
21.18,1.75,0.01,0.18,0,1.19,7.4,8.88,15.14,0.06,0.03,0
22.57,0.43,0.01,0.23,0,1.19,7.4,6.91,17.94,0.08,0.05,0
22.3,1.25,0.01,0.19,0,0.18,7.4,9.03,15.4,0.06,0.03,0
20.63,2.13,0.01,0.18,0,0.18,7.4,11.11,15.83,0.04,0.03,0
24.24,2.29,0.01,0.2,0,0.18,7.4,10.59,15.14,0.05,0.03,0
26.74,0.62,0.01,0.22,0,0.18,7.4,12.19,14.95,0.05,0.03,0
29.24,5.22,0.01,0.24,0,0.18,7.4,12.45,15.09,0.06,0.04,0
30.08,1.52,0.01,0.26,0,0.18,7.4,11.67,15.57,0.06,0.05,0
34.52,1.36,0.01,0.29,0,0.18,7.4,13.11,15.26,0.06,0.05,0
27.03,2.63,0.01,0.25,0,0.18,7.4,11.78,16.76,0.06,0.04,0
21.74,2.52,0.01,0.18,0,0.18,7.4,10.07,15.44,0.05,0.04,0
20.9,2.09,0.01,0.18,0,0.18,7.4,11.67,15.35,0.04,0.04,0
21,2.32,0.01,0.18,0,0.18,7.4,12.97,15.22,0.04,0.03,0
21.09,2.63,0.01,0.18,0,0.18,7.4,14.82,15.35,0.03,0.03,0
21.36,2.75,0.59,0.2,0.22,0.17,7.4,22.45,16.76,0.02,0.02,0
23.03,1.52,1.63,0.2,0.63,1.22,7.4,12.3,15.52,0.04,0.04,0
20.34,1.25,1.82,0.18,0.7,1.22,7.4,11.67,15.66,0.04,0.03,0
31.46,1.36,3.83,0.27,1.49,1.21,7.4,10.22,15.44,0.07,0.06,0
17.28,1.28,1.59,0.15,0.62,1.21,7.4,9.67,15.4,0.04,0.04,0
19.24,1.09,2.63,0.23,0.91,1.58,7.4,7.32,19.74,0.06,0.05,0
25.35,0.74,2.79,0.26,1.02,1.58,7.4,8.62,17.77,0.07,0.06,0
23.03,0.55,2.94,0.2,1.13,1.58,7.4,18.62,15.88,0.03,0.02,0
19.13,0.74,2.29,0.18,0.86,1.58,7.4,11.52,16.58,0.04,0.03,0
15.72,1.13,0.93,0.13,0.37,1.58,7.4,11.67,15,0.03,0.03,0
22.39,1.09,0.51,0.19,0.2,0.18,7.4,16.65,15.49,0.03,0.03,0
31.29,1.25,1.4,0.27,0.54,0.18,7.4,10.85,15.83,0.07,0.06,0
34.63,1.36,1.9,0.28,0.75,0.18,7.4,11,14.69,0.08,0.07,0
44.9,10.31,0.83,0.77,0.25,0.25,7.4,17.5,25,0.06,0.05,17.1
44.9,6.11,0.68,0.77,0.2,0.25,7.4,17.5,25,0.06,0.04,13.7
44.9,2.48,0.63,0.77,0.19,0.25,7.4,17.5,25,0.06,0.03,2.3
100,3.18,15.69,15.17,0.73,0.13,8.1,24,35,0.1,0.07,0
200,17.12,3.18,30.34,0.15,0.13,8.1,24,35,0.2,0.15,0
67.89,4.73,1.01,2.01,0.14,1,7.8,1.3,20,1.25,0.97,4.45
72.15,0.67,0.61,2.13,0.08,1.8,7.8,1.3,20,1.33,1.08,8.41
110.05,37.07,1.04,8.78,0.08,0.22,7.94,74.08,30,0.18,0.03,21.14
116.05,26.79,7.05,9.26,0.54,0.28,7.94,9.48,30,0.19,0.11,0.73
250,52.45,4.52,30.92,0.27,0.07,8,6,35,1,0.66,0
50,22.14,5.34,6.18,0.31,0.04,8,4,35,0.3,0.04,0
100,77.85,188.47,4.2,35.02,0.01,7.5,6,35,1.2,0.08,0
250,120.46,9.03,30.92,0.53,0.1,8,6,35,1,0.41,0
250,55.73,6.16,30.92,0.36,0.17,8,6,35,1,0.64,0
250,15.41,1.85,12.06,0.26,0.25,7.65,4,32,1.5,1.27,0
50,5.77,1.85,2.41,0.26,0.05,7.65,2,32,0.6,0.42,0
50,12.51,1.85,0.73,0.41,0.04,7.65,2,15,0.6,0.28,0
50,8.34,1.55,2.41,0.22,0.08,7.65,2,32,0.6,0.39,0
46.32,1.47,1.47,1.87,0.19,1,7.75,12,26,0.09,0.07,8.05
46.96,23.76,7.78,1.89,1.02,1,7.75,12,26,0.09,0.01,4.36
45.41,13.13,4.47,1.83,0.58,1,7.75,12,26,0.09,0.02,12.86
46.12,4.42,6.94,1.86,0.91,1,7.75,12,26,0.09,0.04,1.59
500,309.76,2.94,21.46,0.43,0.07,7.65,12,30.23,1,0.34,18.5
50.25,1.9,1.22,3.28,0.09,0.77,8,2,25,0.6,0.02,3.5
49.52,7.24,2.18,3.23,0.16,0.25,8,2,25,0.6,0.41,11
495,23.3,13,47.6,0.65,0.3,8.18,12,25,0.99,0.82,22.24
502,25.3,4.9,84.14,0.13,0.01,8.45,12,25,1,0.88,14.47
