NH4inf,NH4eff,NO2eff,NO3eff,Tneff,FA,FNA,Day,O2,pH,HRT,Temperature,NLR,NRR,NOB
368.17,278.76,3.15,90.3,372.21,15.44,0.44,51,0.24,7.7,24,28.23,0.43,0.05,2.1
420.88,147,1.79,161.16,309.94,14.61,0.27,77,0.25,7.7,24,25.46,0.6,0.29,1.18
350.64,132.83,1.79,175.33,309.94,10.18,0.28,111,0.25,7.7,24,22.9,0.57,0.26,0.87
1194.5,16.69,29.63,3.9,50.22,56.41,3.93,215,2.5,7.7,24,30,1.41,0.39,0.2
45.1,0.87,0,4.57,5.44,0.84,0,191,0.5,7.55,10.5,21.5,0.54,0.08,0.1
106.67,23.45,24.14,7.38,54.97,4.51,3.59,1,0.65,7.65,12,30,0.21,0.1,0.89
99.95,18.2,0,30.12,48.32,4.22,0,69,0.35,7.65,12,30,0.2,0.1,0.64
100.31,6.6,0,12.39,18.99,4.24,0,119,0.2,7.65,15,30,0.16,0.13,0.29
200,15.29,16.98,6.65,38.93,4.29,6.29,30,0.3,7.2,6,35,0.8,0.64,1.44
200,4.2,0,58.87,63.07,4.29,0,60,1,7.2,6,35,0.8,0.55,3.01
350.24,5,5,27.06,37.06,97.87,0.11,120,1.23,8.45,48,34,0.18,0.16,33.54
52.22,10.32,0,0.58,10.9,1.56,0,17,1.25,7.65,24,24.95,0.05,0.04,1.13
78.78,8.43,0,3.25,11.68,2.46,0,140,0.2,7.65,24,25.57,0.08,0.07,1.31
64.01,1.83,0,2.46,4.3,1.03,0,201,0.1,7.65,24,16.31,0.06,0.06,1.66
1895.43,8.16,8.16,16.35,32.67,269.17,0.32,404,0.03,8.23,153.79,29.5,0.3,0.29,0.32
120,0,0,69.52,69.52,5.41,0,238,0.3,7.7,150,29.3,0.02,0.01,16
120,0,0,85.4,85.4,5.41,0,275,0.3,7.7,150,29.3,0.02,0.01,50
120,0,3.13,56.35,59.48,5.41,0.42,313,0.3,7.7,150,29.3,0.02,0.01,57
180,5.01,0,70.02,75.03,5.05,0,324,0.1,7.5,150,28.9,0.03,0.02,50
180,32.84,0,43.41,76.25,5.05,0,352,0.1,7.5,150,28.9,0.03,0.02,37.5
180,19.06,0,39.26,58.32,5.05,0,373,0.1,7.5,150,28.9,0.03,0.02,34
220,16.63,0,47.06,63.69,5.27,0,391,0.05,7.4,150,29.9,0.04,0.03,30
220,25.59,0,42.02,67.61,5.27,0,412,0.05,7.4,150,29.9,0.04,0.02,33.3
220,23.88,0,39.76,63.64,5.27,0,445,0.05,7.4,150,29.9,0.04,0.03,21.1
220,79.54,0,12.32,91.86,19.45,0,516,0.08,8,300,29.6,0.02,0.01,0
220,66.2,0,17.68,83.88,19.45,0,551,0.08,8,300,29.6,0.02,0.01,5.3
220,80.2,0,23.38,103.58,19.45,0,600,0.08,8,300,29.6,0.02,0.01,0
220,55,30,36,121,33.38,1.4,157,0.5,8.1,48,35,0.11,0.05,4.83
250,50,46,29,125,24.67,3.05,226,1.2,7.98,48,32,0.13,0.06,0.21
250,50,46,29,125,24.67,3.05,226,0.5,7.98,48,32,0.13,0.06,0.32
180,70,2.2,5,77.2,26.89,0.08,275,1.2,8.27,48,29,0.09,0.05,0
180,70,2.2,5,77.2,26.89,0.08,275,0.5,8.27,48,29,0.09,0.05,0
180,20,12,16,48,2.4,5.07,307,1.2,7.23,48,27,0.09,0.07,0.04
180,20,12,16,48,2.4,5.07,307,0.5,7.23,48,27,0.09,0.07,0.32
400,19.6,14.2,38.6,72.4,36.28,0.94,234,0.55,8,16,30,0.6,0.49,0
50,8.31,1.58,27.1,36.99,0.62,0.61,90,0.19,7.31,2,23.31,0.6,0.16,0
50,5.7,1.04,3.14,9.89,3.71,0.08,300,0.25,7.92,2,29.55,0.6,0.48,0
50,3.1,1.82,43.32,48.24,4.62,0.15,510,1,7.86,2,35.03,0.6,0.02,20.1
50,9.91,5.25,12.51,27.66,7.01,0.3,630,0.31,7.99,2,37.46,0.6,0.27,0
750,230,0,35,265,43.91,0,53,0.01,7.65,13.33,35,1.35,0.87,0.29
50,0,1.82,9.06,10.88,3.32,0.23,34,0.17,7.65,1.7,37,0.71,0.55,0.9
52.19,3.09,0.13,0.13,3.35,6.62,0.01,95,0.17,8.16,24,30,0.05,0.05,0.95
48.96,8.5,8.22,24.7,41.41,6.21,0.38,45,0.75,8.16,24,30,0.05,0.01,0.27
36.12,0.32,0,7.98,8.3,0.65,0,50,0.47,7.5,6.4,22.5,0.14,0.1,0.63
53.6,2.72,4.96,1.15,8.83,0.21,4.59,195,0.45,7,13.6,17.3,0.09,0.08,0.12
50,6.55,1.02,3.17,10.73,3.26,0.08,50,0.2,8,2,25,0.6,0.47,2
50,1.02,0.69,40.68,42.38,3.26,0.05,65,0.95,8,2,25,0.6,0.09,19.8
50,5.05,1.02,6.55,12.62,3.26,0.08,155,0.3,8,2,25,0.6,0.45,6.3
50,7.92,5.84,1.21,14.97,3.26,0.44,70,0.13,8,2,25,0.6,0.42,3.2
50,1.02,39.9,0.89,41.8,3.26,3.01,85,0.23,8,2,25,0.6,0.1,18.6
50,2.38,12.48,0.89,15.75,3.26,0.94,155,0.15,8,2,25,0.6,0.41,10.5
50,11.57,1.1,9.62,22.29,1.07,0.26,380,1.25,7.5,5,25,0.24,0.13,0.69
66,48.14,0,17.31,65.46,0.51,0,26,0.13,7.15,11.2,22,0.14,0,0.45
66,19.33,0,9.23,28.56,0.51,0,240,0.13,7.15,22,22,0.07,0.04,0.29
66,11.63,0,10.2,21.83,0.51,0,324,0.13,7.15,22,22,0.07,0.05,0.25
66,12.68,0,39.71,52.38,0.51,0,432,0.35,7.15,22,22,0.07,0.02,1.47
678,62.65,10.42,33.69,106.76,28.5,1.94,219,0.25,7.5,39.32,35,0.41,0.35,0.16
713.76,64.92,6.45,35.4,106.76,11.93,1.69,314,0.25,7.5,40.44,21.5,0.42,0.36,0.16
219.32,10.42,6.45,12.69,29.56,3.66,1.69,382,0.25,7.5,25.31,21.5,0.21,0.18,0.16
127.87,4.73,71.78,15.42,91.94,9.15,5.63,50,0.9,7.95,1.5,28,2.05,0.57,0.44
125.91,3.76,34.97,9.27,48,9.01,2.74,90,0.9,7.95,1.1,28,2.3,1.7,0.19
122.11,1.8,1.61,12.73,16.14,8.74,0.13,143,1.2,7.95,0.9,28,2.5,1.8,0.04
102.29,4.63,0.11,32.78,37.51,5.51,0.01,94,0.18,7.76,24,30,0.1,0.06,6.92
50,5.89,0.66,6.83,13.38,4.51,0.04,200,0.17,8.15,2,25,0.6,0.44,1.9
496,311,12.5,98,421.5,10.92,1.64,55,0.93,7.9,79.2,13,0.15,0.02,0.26
170,119,2.2,8,129.2,2.99,0.36,133,0.64,7.8,76.8,13,0.05,0.01,0.24
